latitude,longitude,topo
degrees_north,degrees_east,meters
44.375,-71.16666667,432
44.375,-71.15833333,492
44.375,-71.15,453
44.375,-71.14166667,531
44.375,-71.13333333,568
44.375,-71.125,642
44.375,-71.11666667,543
44.375,-71.10833333,557
44.375,-71.1,658
44.375,-71.09166667,678
44.375,-71.08333333,568
44.375,-71.075,496
44.375,-71.06666667,430
44.375,-71.05833333,422
44.375,-71.05,379
44.375,-71.04166667,337
44.375,-71.03333333,307
44.375,-71.025,343
44.375,-71.01666667,333
44.375,-71.00833333,358
44.375,-71,304
44.36666667,-71.9,314
44.36666667,-71.89166667,392
44.36666667,-71.88333333,392
44.36666667,-71.875,407
44.36666667,-71.86666667,326
44.36666667,-71.85833333,308
44.36666667,-71.85,284
44.36666667,-71.84166667,281
44.36666667,-71.83333333,280
44.36666667,-71.825,270
44.36666667,-71.81666667,240
44.36666667,-71.80833333,274
44.36666667,-71.8,305
44.36666667,-71.79166667,364
44.36666667,-71.78333333,431
44.36666667,-71.775,484
44.36666667,-71.76666667,602
44.36666667,-71.75833333,544
44.36666667,-71.75,502
44.36666667,-71.74166667,466
44.36666667,-71.73333333,442
44.36666667,-71.725,493
44.36666667,-71.71666667,490
44.36666667,-71.70833333,487
44.36666667,-71.7,534
44.36666667,-71.69166667,474
44.36666667,-71.68333333,418
44.36666667,-71.675,371
44.36666667,-71.66666667,343
44.36666667,-71.65833333,322
44.36666667,-71.65,329
44.36666667,-71.64166667,322
44.36666667,-71.63333333,318
44.36666667,-71.625,331
44.36666667,-71.61666667,327
44.36666667,-71.60833333,351
44.36666667,-71.6,357
44.36666667,-71.59166667,355
44.36666667,-71.58333333,339
44.36666667,-71.575,354
44.36666667,-71.56666667,347
44.36666667,-71.55833333,320
44.36666667,-71.55,318
44.36666667,-71.54166667,334
44.36666667,-71.53333333,353
44.36666667,-71.525,363
44.36666667,-71.51666667,367
44.36666667,-71.50833333,369
44.36666667,-71.5,371
44.36666667,-71.49166667,367
44.36666667,-71.48333333,376
44.36666667,-71.475,370
44.36666667,-71.46666667,375
44.36666667,-71.45833333,387
44.36666667,-71.45,412
44.36666667,-71.44166667,436
44.36666667,-71.43333333,439
44.36666667,-71.425,436
44.36666667,-71.41666667,429
44.36666667,-71.40833333,415
44.36666667,-71.4,445
44.36666667,-71.39166667,484
44.36666667,-71.38333333,493
44.36666667,-71.375,483
44.36666667,-71.36666667,496
44.36666667,-71.35833333,520
44.36666667,-71.35,506
44.36666667,-71.34166667,462
44.36666667,-71.33333333,453
44.36666667,-71.325,475
44.36666667,-71.31666667,509
44.36666667,-71.30833333,521
44.36666667,-71.3,525
44.36666667,-71.29166667,543
44.36666667,-71.28333333,565
44.36666667,-71.275,523
44.36666667,-71.26666667,515
44.36666667,-71.25833333,476
44.36666667,-71.25,439
44.36666667,-71.24166667,422
44.36666667,-71.23333333,479
44.36666667,-71.225,558
44.36666667,-71.21666667,528
44.36666667,-71.20833333,424
44.36666667,-71.2,371
44.36666667,-71.19166667,330
44.36666667,-71.18333333,311
44.36666667,-71.175,341
44.36666667,-71.16666667,435
44.36666667,-71.15833333,603
44.36666667,-71.15,571
44.36666667,-71.14166667,639
44.36666667,-71.13333333,772
44.36666667,-71.125,749
44.36666667,-71.11666667,673
44.36666667,-71.10833333,773
44.36666667,-71.1,861
44.36666667,-71.09166667,814
44.36666667,-71.08333333,674
44.36666667,-71.075,608
44.36666667,-71.06666667,588
44.36666667,-71.05833333,510
44.36666667,-71.05,461
44.36666667,-71.04166667,494
44.36666667,-71.03333333,521
44.36666667,-71.025,497
44.36666667,-71.01666667,366
44.36666667,-71.00833333,358
44.36666667,-71,287
44.35833333,-71.9,279
44.35833333,-71.89166667,317
44.35833333,-71.88333333,325
44.35833333,-71.875,315
44.35833333,-71.86666667,312
44.35833333,-71.85833333,280
44.35833333,-71.85,260
44.35833333,-71.84166667,279
44.35833333,-71.83333333,248
44.35833333,-71.825,240
44.35833333,-71.81666667,251
44.35833333,-71.80833333,310
44.35833333,-71.8,376
44.35833333,-71.79166667,395
44.35833333,-71.78333333,429
44.35833333,-71.775,432
44.35833333,-71.76666667,457
44.35833333,-71.75833333,536
44.35833333,-71.75,589
44.35833333,-71.74166667,584
44.35833333,-71.73333333,512
44.35833333,-71.725,447
44.35833333,-71.71666667,403
44.35833333,-71.70833333,373
44.35833333,-71.7,392
44.35833333,-71.69166667,391
44.35833333,-71.68333333,363
44.35833333,-71.675,358
44.35833333,-71.66666667,339
44.35833333,-71.65833333,334
44.35833333,-71.65,316
44.35833333,-71.64166667,326
44.35833333,-71.63333333,402
44.35833333,-71.625,388
44.35833333,-71.61666667,342
44.35833333,-71.60833333,344
44.35833333,-71.6,349
44.35833333,-71.59166667,373
44.35833333,-71.58333333,353
44.35833333,-71.575,370
44.35833333,-71.56666667,348
44.35833333,-71.55833333,341
44.35833333,-71.55,350
44.35833333,-71.54166667,368
44.35833333,-71.53333333,381
44.35833333,-71.525,401
44.35833333,-71.51666667,422
44.35833333,-71.50833333,453
44.35833333,-71.5,469
44.35833333,-71.49166667,459
44.35833333,-71.48333333,432
44.35833333,-71.475,404
44.35833333,-71.46666667,402
44.35833333,-71.45833333,429
44.35833333,-71.45,436
44.35833333,-71.44166667,466
44.35833333,-71.43333333,506
44.35833333,-71.425,517
44.35833333,-71.41666667,515
44.35833333,-71.40833333,484
44.35833333,-71.4,454
44.35833333,-71.39166667,442
44.35833333,-71.38333333,449
44.35833333,-71.375,453
44.35833333,-71.36666667,453
44.35833333,-71.35833333,458
44.35833333,-71.35,474
44.35833333,-71.34166667,515
44.35833333,-71.33333333,589
44.35833333,-71.325,672
44.35833333,-71.31666667,733
44.35833333,-71.30833333,686
44.35833333,-71.3,703
44.35833333,-71.29166667,739
44.35833333,-71.28333333,787
44.35833333,-71.275,754
44.35833333,-71.26666667,789
44.35833333,-71.25833333,734
44.35833333,-71.25,638
44.35833333,-71.24166667,538
44.35833333,-71.23333333,512
44.35833333,-71.225,486
44.35833333,-71.21666667,440
44.35833333,-71.20833333,385
44.35833333,-71.2,336
44.35833333,-71.19166667,336
44.35833333,-71.18333333,360
44.35833333,-71.175,403
44.35833333,-71.16666667,495
44.35833333,-71.15833333,677
44.35833333,-71.15,792
44.35833333,-71.14166667,688
44.35833333,-71.13333333,874
44.35833333,-71.125,983
44.35833333,-71.11666667,878
44.35833333,-71.10833333,1011
44.35833333,-71.1,1045
44.35833333,-71.09166667,915
44.35833333,-71.08333333,792
44.35833333,-71.075,812
44.35833333,-71.06666667,738
44.35833333,-71.05833333,631
44.35833333,-71.05,629
44.35833333,-71.04166667,628
44.35833333,-71.03333333,545
44.35833333,-71.025,418
44.35833333,-71.01666667,335
44.35833333,-71.00833333,304
44.35833333,-71,274
44.35,-71.9,219
44.35,-71.89166667,237
44.35,-71.88333333,260
44.35,-71.875,282
44.35,-71.86666667,267
44.35,-71.85833333,240
44.35,-71.85,241
44.35,-71.84166667,239
44.35,-71.83333333,252
44.35,-71.825,277
44.35,-71.81666667,322
44.35,-71.80833333,388
44.35,-71.8,474
44.35,-71.79166667,493
44.35,-71.78333333,520
44.35,-71.775,513
44.35,-71.76666667,479
44.35,-71.75833333,454
44.35,-71.75,514
44.35,-71.74166667,571
44.35,-71.73333333,450
44.35,-71.725,373
44.35,-71.71666667,342
44.35,-71.70833333,322
44.35,-71.7,336
44.35,-71.69166667,359
44.35,-71.68333333,351
44.35,-71.675,340
44.35,-71.66666667,342
44.35,-71.65833333,327
44.35,-71.65,320
44.35,-71.64166667,383
44.35,-71.63333333,480
44.35,-71.625,469
44.35,-71.61666667,393
44.35,-71.60833333,406
44.35,-71.6,348
44.35,-71.59166667,340
44.35,-71.58333333,362
44.35,-71.575,356
44.35,-71.56666667,342
44.35,-71.55833333,360
44.35,-71.55,395
44.35,-71.54166667,389
44.35,-71.53333333,410
44.35,-71.525,464
44.35,-71.51666667,531
44.35,-71.50833333,656
44.35,-71.5,674
44.35,-71.49166667,648
44.35,-71.48333333,567
44.35,-71.475,493
44.35,-71.46666667,451
44.35,-71.45833333,447
44.35,-71.45,470
44.35,-71.44166667,496
44.35,-71.43333333,556
44.35,-71.425,625
44.35,-71.41666667,570
44.35,-71.40833333,530
44.35,-71.4,481
44.35,-71.39166667,485
44.35,-71.38333333,511
44.35,-71.375,496
44.35,-71.36666667,495
44.35,-71.35833333,516
44.35,-71.35,535
44.35,-71.34166667,585
44.35,-71.33333333,657
44.35,-71.325,768
44.35,-71.31666667,867
44.35,-71.30833333,837
44.35,-71.3,873
44.35,-71.29166667,1007
44.35,-71.28333333,973
44.35,-71.275,957
44.35,-71.26666667,994
44.35,-71.25833333,939
44.35,-71.25,856
44.35,-71.24166667,679
44.35,-71.23333333,526
44.35,-71.225,437
44.35,-71.21666667,410
44.35,-71.20833333,377
44.35,-71.2,351
44.35,-71.19166667,388
44.35,-71.18333333,437
44.35,-71.175,467
44.35,-71.16666667,575
44.35,-71.15833333,751
44.35,-71.15,932
44.35,-71.14166667,983
44.35,-71.13333333,1012
44.35,-71.125,1023
44.35,-71.11666667,943
44.35,-71.10833333,910
44.35,-71.1,872
44.35,-71.09166667,812
44.35,-71.08333333,791
44.35,-71.075,746
44.35,-71.06666667,745
44.35,-71.05833333,678
44.35,-71.05,699
44.35,-71.04166667,606
44.35,-71.03333333,477
44.35,-71.025,356
44.35,-71.01666667,289
44.35,-71.00833333,341
44.35,-71,387
44.34166667,-71.9,265
44.34166667,-71.89166667,229
44.34166667,-71.88333333,222
44.34166667,-71.875,234
44.34166667,-71.86666667,236
44.34166667,-71.85833333,259
44.34166667,-71.85,258
44.34166667,-71.84166667,256
44.34166667,-71.83333333,273
44.34166667,-71.825,297
44.34166667,-71.81666667,341
44.34166667,-71.80833333,391
44.34166667,-71.8,354
44.34166667,-71.79166667,357
44.34166667,-71.78333333,420
44.34166667,-71.775,504
44.34166667,-71.76666667,518
44.34166667,-71.75833333,415
44.34166667,-71.75,449
44.34166667,-71.74166667,482
44.34166667,-71.73333333,420
44.34166667,-71.725,366
44.34166667,-71.71666667,320
44.34166667,-71.70833333,313
44.34166667,-71.7,336
44.34166667,-71.69166667,349
44.34166667,-71.68333333,350
44.34166667,-71.675,378
44.34166667,-71.66666667,355
44.34166667,-71.65833333,317
44.34166667,-71.65,358
44.34166667,-71.64166667,468
44.34166667,-71.63333333,461
44.34166667,-71.625,429
44.34166667,-71.61666667,396
44.34166667,-71.60833333,388
44.34166667,-71.6,364
44.34166667,-71.59166667,340
44.34166667,-71.58333333,346
44.34166667,-71.575,349
44.34166667,-71.56666667,351
44.34166667,-71.55833333,377
44.34166667,-71.55,401
44.34166667,-71.54166667,404
44.34166667,-71.53333333,457
44.34166667,-71.525,580
44.34166667,-71.51666667,685
44.34166667,-71.50833333,807
44.34166667,-71.5,922
44.34166667,-71.49166667,813
44.34166667,-71.48333333,681
44.34166667,-71.475,602
44.34166667,-71.46666667,509
44.34166667,-71.45833333,475
44.34166667,-71.45,479
44.34166667,-71.44166667,513
44.34166667,-71.43333333,550
44.34166667,-71.425,590
44.34166667,-71.41666667,569
44.34166667,-71.40833333,544
44.34166667,-71.4,514
44.34166667,-71.39166667,504
44.34166667,-71.38333333,526
44.34166667,-71.375,545
44.34166667,-71.36666667,590
44.34166667,-71.35833333,671
44.34166667,-71.35,757
44.34166667,-71.34166667,736
44.34166667,-71.33333333,766
44.34166667,-71.325,966
44.34166667,-71.31666667,1143
44.34166667,-71.30833333,1141
44.34166667,-71.3,1011
44.34166667,-71.29166667,1188
44.34166667,-71.28333333,1239
44.34166667,-71.275,1213
44.34166667,-71.26666667,1159
44.34166667,-71.25833333,997
44.34166667,-71.25,811
44.34166667,-71.24166667,626
44.34166667,-71.23333333,484
44.34166667,-71.225,401
44.34166667,-71.21666667,374
44.34166667,-71.20833333,394
44.34166667,-71.2,428
44.34166667,-71.19166667,480
44.34166667,-71.18333333,541
44.34166667,-71.175,558
44.34166667,-71.16666667,650
44.34166667,-71.15833333,694
44.34166667,-71.15,812
44.34166667,-71.14166667,1051
44.34166667,-71.13333333,1164
44.34166667,-71.125,981
44.34166667,-71.11666667,808
44.34166667,-71.10833333,709
44.34166667,-71.1,689
44.34166667,-71.09166667,654
44.34166667,-71.08333333,646
44.34166667,-71.075,595
44.34166667,-71.06666667,647
44.34166667,-71.05833333,528
44.34166667,-71.05,490
44.34166667,-71.04166667,491
44.34166667,-71.03333333,363
44.34166667,-71.025,330
44.34166667,-71.01666667,380
44.34166667,-71.00833333,464
44.34166667,-71,571
44.33333333,-71.9,289
44.33333333,-71.89166667,282
44.33333333,-71.88333333,277
44.33333333,-71.875,249
44.33333333,-71.86666667,241
44.33333333,-71.85833333,296
44.33333333,-71.85,271
44.33333333,-71.84166667,281
44.33333333,-71.83333333,288
44.33333333,-71.825,291
44.33333333,-71.81666667,314
44.33333333,-71.80833333,319
44.33333333,-71.8,294
44.33333333,-71.79166667,354
44.33333333,-71.78333333,391
44.33333333,-71.775,420
44.33333333,-71.76666667,389
44.33333333,-71.75833333,374
44.33333333,-71.75,422
44.33333333,-71.74166667,428
44.33333333,-71.73333333,389
44.33333333,-71.725,403
44.33333333,-71.71666667,359
44.33333333,-71.70833333,306
44.33333333,-71.7,315
44.33333333,-71.69166667,308
44.33333333,-71.68333333,332
44.33333333,-71.675,369
44.33333333,-71.66666667,356
44.33333333,-71.65833333,347
44.33333333,-71.65,415
44.33333333,-71.64166667,460
44.33333333,-71.63333333,432
44.33333333,-71.625,412
44.33333333,-71.61666667,388
44.33333333,-71.60833333,367
44.33333333,-71.6,352
44.33333333,-71.59166667,347
44.33333333,-71.58333333,357
44.33333333,-71.575,363
44.33333333,-71.56666667,358
44.33333333,-71.55833333,371
44.33333333,-71.55,400
44.33333333,-71.54166667,425
44.33333333,-71.53333333,479
44.33333333,-71.525,606
44.33333333,-71.51666667,820
44.33333333,-71.50833333,914
44.33333333,-71.5,999
44.33333333,-71.49166667,895
44.33333333,-71.48333333,816
44.33333333,-71.475,655
44.33333333,-71.46666667,547
44.33333333,-71.45833333,530
44.33333333,-71.45,528
44.33333333,-71.44166667,531
44.33333333,-71.43333333,565
44.33333333,-71.425,576
44.33333333,-71.41666667,598
44.33333333,-71.40833333,596
44.33333333,-71.4,568
44.33333333,-71.39166667,558
44.33333333,-71.38333333,559
44.33333333,-71.375,580
44.33333333,-71.36666667,650
44.33333333,-71.35833333,790
44.33333333,-71.35,952
44.33333333,-71.34166667,968
44.33333333,-71.33333333,862
44.33333333,-71.325,1022
44.33333333,-71.31666667,1265
44.33333333,-71.30833333,1459
44.33333333,-71.3,1336
44.33333333,-71.29166667,1399
44.33333333,-71.28333333,1486
44.33333333,-71.275,1434
44.33333333,-71.26666667,1189
44.33333333,-71.25833333,918
44.33333333,-71.25,727
44.33333333,-71.24166667,610
44.33333333,-71.23333333,498
44.33333333,-71.225,401
44.33333333,-71.21666667,409
44.33333333,-71.20833333,530
44.33333333,-71.2,574
44.33333333,-71.19166667,661
44.33333333,-71.18333333,818
44.33333333,-71.175,761
44.33333333,-71.16666667,767
44.33333333,-71.15833333,951
44.33333333,-71.15,961
44.33333333,-71.14166667,919
44.33333333,-71.13333333,1026
44.33333333,-71.125,1017
44.33333333,-71.11666667,900
44.33333333,-71.10833333,717
44.33333333,-71.1,572
44.33333333,-71.09166667,520
44.33333333,-71.08333333,540
44.33333333,-71.075,482
44.33333333,-71.06666667,502
44.33333333,-71.05833333,417
44.33333333,-71.05,369
44.33333333,-71.04166667,363
44.33333333,-71.03333333,323
44.33333333,-71.025,408
44.33333333,-71.01666667,520
44.33333333,-71.00833333,541
44.33333333,-71,480
44.325,-71.9,347
44.325,-71.89166667,335
44.325,-71.88333333,308
44.325,-71.875,282
44.325,-71.86666667,237
44.325,-71.85833333,271
44.325,-71.85,284
44.325,-71.84166667,327
44.325,-71.83333333,338
44.325,-71.825,322
44.325,-71.81666667,338
44.325,-71.80833333,316
44.325,-71.8,271
44.325,-71.79166667,322
44.325,-71.78333333,325
44.325,-71.775,335
44.325,-71.76666667,315
44.325,-71.75833333,368
44.325,-71.75,414
44.325,-71.74166667,412
44.325,-71.73333333,352
44.325,-71.725,348
44.325,-71.71666667,320
44.325,-71.70833333,301
44.325,-71.7,318
44.325,-71.69166667,324
44.325,-71.68333333,312
44.325,-71.675,323
44.325,-71.66666667,324
44.325,-71.65833333,371
44.325,-71.65,447
44.325,-71.64166667,430
44.325,-71.63333333,461
44.325,-71.625,440
44.325,-71.61666667,419
44.325,-71.60833333,388
44.325,-71.6,358
44.325,-71.59166667,370
44.325,-71.58333333,380
44.325,-71.575,386
